source,target,link_type,article_id
Hamid,Rosario Ortiz,PERSON,smrt_smrt_00002
Hamid,SMRT,PERSON,smrt_smrt_00002
Hamid,Surprise passenger,PERSON,smrt_smrt_00002
IMDA,Khaw Boon Wan,PERSON,smrt_smrt_01153
IMDA,LTA,ORGANIZATION,smrt_smrt_01153
IMDA,MP,PERSON,smrt_smrt_01153
IMDA,Ngien Hoon Ping,PERSON,smrt_smrt_01153
IMDA,PAP,ORGANIZATION,smrt_smrt_01153
IMDA,SMRT,ORGANIZATION,smrt_smrt_01153
IMDA,Seah Moon Ming,PERSON,smrt_smrt_01153
Inspectors,SMRT,PERSON,smrt_smrt_00203
Inspectors,Track Access Management Office,PERSON,smrt_smrt_00203
Jamalludin Bin Jumari,SMRT,PERSON,smrt_smrt_01098
Jamalludin Bin Jumari,Zakaria Bin Mohamed Shariff,PERSON,smrt_smrt_01098
Jamalludin Bin Jumari,Zulkifli Bin Marwi,PERSON,smrt_smrt_01098
Johor Baru-Singapore Rapid Transit System,Land Transport Authority,ORGANIZATION,smrt_smrt_01217
Johor Baru-Singapore Rapid Transit System,MOU,ORGANIZATION,smrt_smrt_00800
Johor Baru-Singapore Rapid Transit System,Prasarana,ORGANIZATION,smrt_smrt_00800|smrt_smrt_01217
Johor Baru-Singapore Rapid Transit System,Prasarana Malaysia,ORGANIZATION,smrt_smrt_01243
Johor Baru-Singapore Rapid Transit System,RTS,ORGANIZATION,smrt_smrt_00800|smrt_smrt_01217|smrt_smrt_01243
Johor Baru-Singapore Rapid Transit System,Rail operators,ORGANIZATION,smrt_smrt_01217
Johor Baru-Singapore Rapid Transit System,SINGAPORE - Rail,ORGANIZATION,smrt_smrt_01243
Johor Baru-Singapore Rapid Transit System,SMRT,ORGANIZATION,smrt_smrt_00800|smrt_smrt_01217|smrt_smrt_01243
Joo,SMRT,ORGANIZATION,smrt_smrt_01025
Joo Koon,SMRT,PERSON,smrt_smrt_00306
Joo Koon Station,SMRT,ORGANIZATION,smrt_smrt_00112
Jurong East MRT,Patrick Nathan,PERSON,smrt_smrt_00702
Jurong East MRT,SMRT,ORGANIZATION,smrt_smrt_00702
Jurong Port,KELVIN CHNG,PERSON,smrt_smrt_00487
Jurong Port,Koh Poh Koon,PERSON,smrt_smrt_00487
Jurong Port,LNG-bunker,PERSON,smrt_smrt_00487
Jurong Port,Pavilion Energy,ORGANIZATION,smrt_smrt_00487
Jurong Port,Seah Moon Ming,PERSON,smrt_smrt_00487
KELVIN CHNG,Koh Poh Koon,PERSON,smrt_smrt_00487
KELVIN CHNG,LNG-bunker,PERSON,smrt_smrt_00487
KELVIN CHNG,Pavilion Energy,PERSON,smrt_smrt_00487
KELVIN CHNG,Seah Moon Ming,PERSON,smrt_smrt_00487
Khaw,Pritam Singh,PERSON,smrt_smrt_01059
Khaw,SM Ong: Welcome to the Blamed For MRT,PERSON,smrt_smrt_00947
Khaw,SMRT,PERSON,smrt_smrt_00921|smrt_smrt_00947|smrt_smrt_01059
Khaw,Seah Moon Ming,PERSON,smrt_smrt_00921
Khaw,Valentino,PERSON,smrt_smrt_00947
Khaw Boon Wan,LTA,PERSON,smrt_smrt_01088|smrt_smrt_01153
Khaw Boon Wan,Leon Perera,PERSON,smrt_smrt_01088
Khaw Boon Wan,MOT,PERSON,smrt_smrt_01088
Khaw Boon Wan,MP,PERSON,smrt_smrt_01153
Khaw Boon Wan,Ngien Hoon Ping,PERSON,smrt_smrt_01153
Khaw Boon Wan,Non-Constituency,PERSON,smrt_smrt_01088
Khaw Boon Wan,PAP,PERSON,smrt_smrt_01153
Khaw Boon Wan,Parliament,PERSON,smrt_smrt_01026|smrt_smrt_01048
Khaw Boon Wan,SMRT,PERSON,smrt_smrt_00712|smrt_smrt_00902|smrt_smrt_01009|smrt_smrt_01031|smrt_smrt_01048|smrt_smrt_01128|smrt_smrt_01153
Khaw Boon Wan,Seah Moon Ming,PERSON,smrt_smrt_00712|smrt_smrt_01128|smrt_smrt_01153
Khaw Boon Wan,Thales,PERSON,smrt_smrt_01003
Khaw Boon Wan,Transport Minister,PERSON,smrt_smrt_00712
Khaw Boon Wan,Transport Ministry,PERSON,smrt_smrt_01088
Khaw Boon Wan,Workers' Party,PERSON,smrt_smrt_01088
Koh Poh Koon,LNG-bunker,PERSON,smrt_smrt_00487
Koh Poh Koon,Pavilion Energy,PERSON,smrt_smrt_00487
Koh Poh Koon,Seah Moon Ming,PERSON,smrt_smrt_00487
Koh Yong Guan,SMRT,PERSON,smrt_smrt_00400|smrt_smrt_00403|smrt_smrt_00407
Koh Yong Guan,Seah Moon Ming,PERSON,smrt_smrt_00400
Kuek,SMRT,PERSON,smrt_smrt_01399
LNG-bunker,Pavilion Energy,PERSON,smrt_smrt_00487
LNG-bunker,Seah Moon Ming,PERSON,smrt_smrt_00487
LRT,SMRT,ORGANIZATION,smrt_smrt_00707
LTA,Land Transport Authority,ORGANIZATION,smrt_smrt_00502|smrt_smrt_00506|smrt_smrt_00511|smrt_smrt_01442
LTA,Leon Perera,PERSON,smrt_smrt_01088
LTA,MOT,ORGANIZATION,smrt_smrt_01088
LTA,MP,PERSON,smrt_smrt_01153
LTA,NSL,ORGANIZATION,smrt_smrt_00506
LTA,Ngien Hoon Ping,PERSON,smrt_smrt_01153
LTA,Non-Constituency,ORGANIZATION,smrt_smrt_01088
LTA,PAP,ORGANIZATION,smrt_smrt_01153
LTA,SMRT,ORGANIZATION,smrt_smrt_00502|smrt_smrt_00506|smrt_smrt_00511|smrt_smrt_00600|smrt_smrt_00903|smrt_smrt_00976|smrt_smrt_01000|smrt_smrt_01153|smrt_smrt_01442
LTA,Seah Moon Ming,PERSON,smrt_smrt_01153
LTA,TWE,ORGANIZATION,smrt_smrt_00506
LTA,Thales,ORGANIZATION,smrt_smrt_00506
LTA,The Land Transport Authority,ORGANIZATION,smrt_smrt_00903
LTA,Transport Ministry,ORGANIZATION,smrt_smrt_01088
LTA,Workers' Party,ORGANIZATION,smrt_smrt_01088
Land Trand Transport Authority,SMRT,ORGANIZATION,smrt_smrt_01032
Land Transport Authority,NSEWL,ORGANIZATION,smrt_smrt_00606
Land Transport Authority,NSL,ORGANIZATION,smrt_smrt_00506|smrt_smrt_00601
Land Transport Authority,Prasarana,ORGANIZATION,smrt_smrt_01217
Land Transport Authority,RTS,ORGANIZATION,smrt_smrt_01217
Land Transport Authority,Rail operators,ORGANIZATION,smrt_smrt_01217
Land Transport Authority,SBS Transit,ORGANIZATION,smrt_smrt_00818
Land Transport Authority,SMRT,ORGANIZATION,smrt_smrt_00502|smrt_smrt_00506|smrt_smrt_00511|smrt_smrt_00512|smrt_smrt_00601|smrt_smrt_00729|smrt_smrt_00818|smrt_smrt_00911|smrt_smrt_01217|smrt_smrt_01442
Land Transport Authority,TEL,ORGANIZATION,smrt_smrt_00818
Land Transport Authority,TWE,ORGANIZATION,smrt_smrt_00506|smrt_smrt_00601
Land Transport Authority,Thales,ORGANIZATION,smrt_smrt_00506
Land Transport Authority,Thomson,ORGANIZATION,smrt_smrt_00818
Lee Fook Sun,SMRT,PERSON,smrt_smrt_00017
Lee Fook Sun,Seah Moon Ming,PERSON,smrt_smrt_00017
Lee Fook Sun,William Tan Seng Koon,PERSON,smrt_smrt_00017
Lee Ling Wee,SMRT,PERSON,smrt_smrt_01133
